municipalityCode,population,populationAsOf,areaKm2,areaAsOf
09216,59507,2020-10-01,,
09301,30806,2020-10-01,,
09342,21898,2020-10-01,,
09343,11891,2020-10-01,,
09344,11262,2020-10-01,,
09345,14961,2020-10-01,,
09361,39474,2020-10-01,,
09364,24913,2020-10-01,,
09384,10354,2020-10-01,,
09386,29229,2020-10-01,,
09407,23956,2020-10-01,,
09411,15215,2020-10-01,,
10201,332149,2020-10-01,,
10202,372973,2020-10-01,,
10203,106445,2020-10-01,,
10204,211850,2020-10-01,,
10205,223014,2020-10-01,,
10206,45337,2020-10-01,,
10207,75309,2020-10-01,,
10208,74581,2020-10-01,,
10209,63261,2020-10-01,,
10210,47446,2020-10-01,,
10211,54907,2020-10-01,,
10212,49648,2020-10-01,,
10344,14216,2020-10-01,,
10345,21792,2020-10-01,,
10366,1128,2020-10-01,,
10367,1645,2020-10-01,,
10382,6576,2020-10-01,,
10383,1611,2020-10-01,,
10384,12491,2020-10-01,,
10421,15386,2020-10-01,,
10424,5095,2020-10-01,,
10425,8850,2020-10-01,,
10426,6049,2020-10-01,,
10428,3511,2020-10-01,,
10429,12728,2020-10-01,,
10443,3993,2020-10-01,,
10444,3480,2020-10-01,,
10448,6953,2020-10-01,,
10449,17195,2020-10-01,,
10464,36054,2020-10-01,,
10521,14083,2020-10-01,,
10522,10882,2020-10-01,,
10523,10861,2020-10-01,,
10524,42089,2020-10-01,,
10525,25522,2020-10-01,,
11201,354571,2020-10-01,,
11202,194415,2020-10-01,,
11203,594274,2020-10-01,,
11206,78617,2020-10-01,,
11207,59674,2020-10-01,,
11208,342464,2020-10-01,,
11209,80361,2020-10-01,,
11210,111623,2020-10-01,,
11211,78569,2020-10-01,,
11212,91791,2020-10-01,,
11214,229792,2020-10-01,,
11215,148699,2020-10-01,,
11216,52862,2020-10-01,,
11217,116828,2020-10-01,,
11218,141268,2020-10-01,,
11219,226940,2020-10-01,,
11221,248304,2020-10-01,,
11222,341621,2020-10-01,,
11223,74283,2020-10-01,,
11224,140899,2020-10-01,,
11225,145651,2020-10-01,,
11227,141083,2020-10-01,,
11228,75346,2020-10-01,,
11229,83989,2020-10-01,,
11230,166017,2020-10-01,,
11231,74748,2020-10-01,,
11232,150582,2020-10-01,,
11233,65201,2020-10-01,,
11234,93363,2020-10-01,,
11235,111859,2020-10-01,,
11237,142145,2020-10-01,,
11238,61499,2020-10-01,,
11239,100275,2020-10-01,,
11240,50066,2020-10-01,,
11241,70117,2020-10-01,,
11242,54571,2020-10-01,,
11243,71979,2020-10-01,,
11245,113597,2020-10-01,,
11246,52214,2020-10-01,,
11301,44841,2020-10-01,,
11324,38434,2020-10-01,,
11326,35366,2020-10-01,,
11327,11029,2020-10-01,,
11341,19732,2020-10-01,,
11342,17889,2020-10-01,,
11343,28524,2020-10-01,,
11346,19378,2020-10-01,,
11347,18192,2020-10-01,,
11348,13560,2020-10-01,,
11349,10540,2020-10-01,,
11361,7979,2020-10-01,,
11362,9302,2020-10-01,,
11363,6807,2020-10-01,,
11365,10928,2020-10-01,,
11369,2709,2020-10-01,,
11381,11039,2020-10-01,,
11383,13359,2020-10-01,,
11385,30343,2020-10-01,,
11408,32374,2020-10-01,,
11442,34147,2020-10-01,,
11464,43845,2020-10-01,,
11465,28266,2020-10-01,,
12202,58431,2020-10-01,,
12203,496676,2020-10-01,,
12204,642907,2020-10-01,,
12205,45153,2020-10-01,,
12206,136166,2020-10-01,,
12207,498232,2020-10-01,,
12208,152638,2020-10-01,,
12210,86782,2020-10-01,,
12211,132906,2020-10-01,,
12212,168743,2020-10-01,,
12213,58219,2020-10-01,,
12215,63745,2020-10-01,,
12216,176197,2020-10-01,,
12217,426468,2020-10-01,,
12218,16927,2020-10-01,,
12219,269524,2020-10-01,,
12220,199849,2020-10-01,,
12221,199498,2020-10-01,,
12222,130510,2020-10-01,,
12223,32116,2020-10-01,,
12224,109932,2020-10-01,,
12225,82206,2020-10-01,,
12226,42465,2020-10-01,,
12227,171362,2020-10-01,,
12228,93576,2020-10-01,,
12229,63883,2020-10-01,,
12230,67455,2020-10-01,,
12231,102609,2020-10-01,,
12232,62441,2020-10-01,,
12233,49735,2020-10-01,,
12234,35831,2020-10-01,,
12235,35040,2020-10-01,,
12236,72356,2020-10-01,,
12237,48444,2020-10-01,,
12238,35544,2020-10-01,,
12239,48129,2020-10-01,,
12322,20745,2020-10-01,,
12329,20127,2020-10-01,,
12342,5816,2020-10-01,,
12347,13735,2020-10-01,,
12349,13228,2020-10-01,,
12403,14639,2020-10-01,,
12409,7033,2020-10-01,,
12410,22075,2020-10-01,,
12421,11897,2020-10-01,,
12422,6760,2020-10-01,,
12423,13803,2020-10-01,,
12424,10305,2020-10-01,,
12426,6721,2020-10-01,,
12427,7198,2020-10-01,,
12441,8885,2020-10-01,,
12443,6874,2020-10-01,,
12463,6993,2020-10-01,,
13101,66680,2020-10-01,,
13102,169179,2020-10-01,,
13103,260486,2020-10-01,,
13104,349385,2020-10-01,,
13105,240069,2020-10-01,,
13106,211444,2020-10-01,,
13107,272085,2020-10-01,,
13108,524310,2020-10-01,,
13109,422488,2020-10-01,,
13110,288088,2020-10-01,,
13111,748081,2020-10-01,,
13112,943664,2020-10-01,,
13113,243883,2020-10-01,,
13114,344880,2020-10-01,,
13115,591108,2020-10-01,,
13116,301599,2020-10-01,,
13117,355213,2020-10-01,,
13118,217475,2020-10-01,,
13119,584483,2020-10-01,,
13120,752608,2020-10-01,,
13121,695043,2020-10-01,,
13122,453093,2020-10-01,,
13123,697932,2020-10-01,,
13201,579355,2020-10-01,,
13202,183581,2020-10-01,,
13203,150149,2020-10-01,,
13204,195391,2020-10-01,,
13205,133535,2020-10-01,,
13206,262790,2020-10-01,,
13207,113949,2020-10-01,,
13208,242614,2020-10-01,,
13209,431079,2020-10-01,,
13210,126074,2020-10-01,,
13211,198739,2020-10-01,,
13212,190435,2020-10-01,,
13213,151815,2020-10-01,,
13214,129242,2020-10-01,,
13215,77130,2020-10-01,,
13218,56414,2020-10-01,,
13219,84772,2020-10-01,,
